[2015_10_22_22_27_19] packet: [0	4	19]	ack: Command executed correctly.
[2015_10_22_22_27_24] packet: [13	1	26]	ack: Command executed correctly.
[2015_10_22_22_27_25] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_26] packet: [14	1	29]	ack: Command executed correctly.
[2015_10_22_22_27_27] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_27] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_27] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_27] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_28] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_28] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_28] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_28] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_28] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_28] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_28] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_28] packet: [14	2	28]	ack: Command executed correctly.
[2015_10_22_22_27_30] packet: [48	64	15]	ack: Invalid command, rejected.
